                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                     77,                0.38499,                 1.1401,                 1.1481,              0.0070003,              0.0070003,              0.0070003,                0.81661,                 0.7125,                0.79394,                0.26914,                0.47043,                 1.1952,                  1.182
                     78,                0.37438,                 1.1386,                 1.1232,              0.0069603,              0.0069603,              0.0069603,                0.82371,                0.81772,                 0.8753,                0.29965,                0.44572,                 1.1303,                 1.1692
                     79,                0.36676,                 1.1143,                 1.1194,              0.0069203,              0.0069203,              0.0069203,                0.91524,                   0.75,                0.79551,                0.29615,                0.45042,                  1.139,                 1.1427
                     80,                 0.3724,                 1.1419,                 1.1292,              0.0068803,              0.0068803,              0.0068803,                0.84182,                 0.7375,                0.82731,                0.30108,                0.44304,                 1.0941,                 1.1378
                     81,                0.37406,                  1.106,                 1.1236,              0.0068403,              0.0068403,              0.0068403,                0.82835,                0.78421,                0.77724,                0.25587,                0.48647,                 1.1585,                 1.2177
                     82,                0.37327,                  1.169,                  1.137,              0.0068003,              0.0068003,              0.0068003,                0.89261,                0.72732,                0.82046,                0.24841,                0.48598,                 1.2204,                 1.2141
                     83,                0.38103,                 1.1837,                   1.13,              0.0067603,              0.0067603,              0.0067603,                0.81896,                   0.75,                0.76479,                0.26854,                0.47509,                 1.1885,                 1.2143
                     84,                0.36695,                 1.0987,                 1.1039,              0.0067203,              0.0067203,              0.0067203,                0.86312,                 0.7875,                0.84822,                0.27592,                0.46636,                 1.1198,                 1.1808
                     85,                0.37009,                 1.0983,                 1.1289,              0.0066803,              0.0066803,              0.0066803,                0.80146,                 0.7125,                0.72133,                0.24171,                0.48481,                 1.1894,                 1.2515
                     86,                0.37932,                 1.1121,                 1.1321,              0.0066403,              0.0066403,              0.0066403,                0.83216,                 0.7125,                 0.7945,                0.27449,                0.45891,                 1.1558,                 1.1902
                     87,                 0.3712,                 1.0671,                 1.1254,              0.0066003,              0.0066003,              0.0066003,                0.84106,                 0.7125,                0.78065,                0.24295,                0.47343,                  1.176,                 1.2108
                     88,                0.37973,                  1.082,                 1.1203,              0.0065603,              0.0065603,              0.0065603,                0.95225,                0.74785,                0.83008,                0.30774,                0.44559,                  1.077,                 1.1354
                     89,                0.36787,                 1.0677,                 1.1178,              0.0065203,              0.0065203,              0.0065203,                0.87747,                 0.7625,                 0.8474,                0.34189,                0.41989,                 1.0631,                 1.0981
                     90,                0.36457,                 1.0918,                 1.0974,              0.0064804,              0.0064804,              0.0064804,                0.84577,                0.68549,                0.77895,                0.29118,                0.45051,                 1.1731,                 1.1697
                     91,                0.36291,                 1.0215,                 1.1133,              0.0064404,              0.0064404,              0.0064404,                0.91335,                   0.75,                0.83769,                0.27496,                0.47581,                 1.1258,                 1.1898
                     92,                0.36644,                 1.0563,                 1.1071,              0.0064004,              0.0064004,              0.0064004,                0.73386,                0.75833,                0.74194,                0.20279,                0.54052,                 1.1777,                 1.3436
                     93,                0.37206,                 1.0937,                 1.0989,              0.0063604,              0.0063604,              0.0063604,                0.87561,                  0.704,                0.79143,                0.28488,                 0.4558,                 1.1049,                 1.1777
                     94,                0.37231,                  1.065,                 1.1035,              0.0063204,              0.0063204,              0.0063204,                0.90891,                0.74839,                0.80224,                0.30814,                0.45103,                 1.0839,                 1.1792
                     95,                 0.3659,                 1.0325,                 1.1301,              0.0062804,              0.0062804,              0.0062804,                0.81182,                    0.7,                0.68526,                0.22214,                0.50231,                 1.2359,                 1.2803
                     96,                0.36764,                 1.0251,                 1.1162,              0.0062404,              0.0062404,              0.0062404,                0.76877,                0.66498,                0.67642,                0.22507,                0.50388,                 1.1601,                 1.2548
                     97,                0.35318,                0.97777,                 1.0996,              0.0062004,              0.0062004,              0.0062004,                0.96624,                 0.6625,                0.80181,                0.29711,                 0.4617,                 1.1149,                 1.1848
                     98,                0.35499,                 1.0005,                 1.1009,              0.0061604,              0.0061604,              0.0061604,                0.87045,                   0.75,                0.80602,                0.31166,                  0.426,                 1.1195,                 1.1263
                     99,                0.36278,                 1.0482,                 1.1117,              0.0061204,              0.0061204,              0.0061204,                 0.9215,                0.73367,                0.81775,                0.36021,                0.39265,                  1.122,                 1.0803
                    100,                0.36455,                 1.0544,                 1.0953,              0.0060804,              0.0060804,              0.0060804,                0.87956,                0.73034,                0.81039,                0.32308,                  0.407,                 1.1318,                 1.1031
                    101,                0.36399,                 1.0609,                 1.0931,              0.0060404,              0.0060404,              0.0060404,                0.92154,                0.73412,                0.83053,                 0.2951,                0.45396,                 1.1448,                 1.1667
                    102,                0.36495,                 1.0419,                 1.1079,              0.0060004,              0.0060004,              0.0060004,                0.86552,                0.80455,                0.84899,                0.33808,                0.41298,                 1.1126,                 1.0947
                    103,                0.35589,                 1.0063,                 1.0967,              0.0059604,              0.0059604,              0.0059604,                0.93261,                  0.775,                0.84443,                0.28178,                0.45142,                 1.1167,                 1.1768
                    104,                0.35724,                 1.0074,                  1.101,              0.0059204,              0.0059204,              0.0059204,                0.81808,                0.78695,                0.81317,                0.31104,                0.43572,                 1.1251,                 1.1398
                    105,                0.35474,                0.99524,                 1.0997,              0.0058804,              0.0058804,              0.0058804,                0.85849,                0.75839,                0.82067,                0.27365,                0.47015,                 1.1143,                 1.1975
                    106,                0.36004,                0.99027,                 1.1225,              0.0058404,              0.0058404,              0.0058404,                0.91037,                 0.7375,                0.79272,                0.28249,                0.45151,                 1.0918,                 1.1544
                    107,                0.34952,                0.94649,                  1.083,              0.0058004,              0.0058004,              0.0058004,                0.90024,                 0.7896,                0.87593,                0.31052,                 0.4409,                 1.0325,                 1.1282
                    108,                0.35977,                  1.006,                 1.1015,              0.0057604,              0.0057604,              0.0057604,                0.91655,                0.82372,                 0.8798,                0.31671,                0.43687,                 1.0584,                 1.1569
                    109,                0.35372,                 1.0115,                 1.0926,              0.0057204,              0.0057204,              0.0057204,                0.88064,                    0.7,                0.79293,                0.27248,                0.47608,                 1.1691,                 1.2281
