                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
153,3.5272,1.0012,1.104,0.0049982,0.0049982,0.0049982,0.89353,0.74419,0.83417,0.27958,6.2332,1.1992,1.2901
154,3.2777,0.95034,1.0532,0.0049463,0.0049463,0.0049463,0.87407,0.64577,0.76207,0.28398,5.9748,1.3335,1.2714
155,3.5648,0.96173,1.0652,0.0048945,0.0048945,0.0048945,0.90877,0.60465,0.68352,0.26229,5.9495,1.3639,1.2653
156,3.4464,1.0465,1.0541,0.0048427,0.0048427,0.0048427,0.75088,0.69767,0.7051,0.22727,6.396,1.2995,1.3732
157,3.2379,0.89472,1.0185,0.0047909,0.0047909,0.0047909,0.63723,0.72093,0.68591,0.25724,6.1362,1.3943,1.2782
158,3.25,1.0686,1.0728,0.0047392,0.0047392,0.0047392,0.82852,0.67419,0.70967,0.25574,6.3991,1.2341,1.299
159,3.215,0.98553,1.0577,0.0046875,0.0046875,0.0046875,0.87064,0.62613,0.71185,0.27622,6.25,1.1267,1.2337
160,3.3842,1.095,1.0743,0.0046358,0.0046358,0.0046358,0.85108,0.76744,0.81867,0.294,5.861,1.0689,1.2372
161,3.4578,0.92707,1.0771,0.0045842,0.0045842,0.0045842,0.76513,0.7907,0.82101,0.29966,5.8182,1.1673,1.2551
162,3.5091,0.96761,1.0821,0.0045326,0.0045326,0.0045326,0.71282,0.7505,0.72896,0.25454,6.5522,1.3393,1.2928
163,3.2411,0.94144,1.0612,0.0044811,0.0044811,0.0044811,0.89013,0.65116,0.76663,0.27715,5.796,1.3577,1.1955
164,3.2036,1.024,1.0337,0.0044296,0.0044296,0.0044296,0.80367,0.66654,0.71248,0.26283,6.0164,1.2036,1.2385
165,3.4724,0.89479,1.0298,0.0043782,0.0043782,0.0043782,0.7937,0.71588,0.76969,0.25385,6.0167,1.2697,1.255
166,3.2425,0.86704,1.0293,0.0043269,0.0043269,0.0043269,0.83825,0.72316,0.73843,0.25883,6.0257,1.3321,1.2635
167,3.1948,1.0035,1.0443,0.0042756,0.0042756,0.0042756,0.71909,0.74419,0.75421,0.2618,6.0439,1.295,1.2874
168,3.354,0.96029,1.027,0.0042245,0.0042245,0.0042245,0.69465,0.74419,0.72505,0.27526,6.0545,1.1917,1.2465
169,3.0993,0.92369,1.0235,0.0041734,0.0041734,0.0041734,0.89915,0.6222,0.74552,0.28165,6.037,1.461,1.2374
170,3.2638,0.93868,1.0525,0.0041225,0.0041225,0.0041225,0.75863,0.5814,0.59786,0.23878,6.2762,1.5002,1.2617
171,3.0979,0.93486,1.0459,0.0040716,0.0040716,0.0040716,0.81005,0.53488,0.61479,0.18725,7.1085,1.5547,1.321
172,3.2551,0.87719,1.069,0.0040208,0.0040208,0.0040208,0.7943,0.60465,0.66297,0.22715,6.6209,1.3137,1.2752
173,3.45,0.9213,1.0709,0.0039702,0.0039702,0.0039702,0.84136,0.65116,0.74057,0.27454,6.2356,1.1906,1.2224
174,3.335,0.89016,1.0615,0.0039197,0.0039197,0.0039197,0.83826,0.69767,0.76298,0.25879,6.364,1.2992,1.2327
175,3.2514,0.92234,1.0487,0.0038693,0.0038693,0.0038693,0.77802,0.73371,0.76058,0.25361,6.2687,1.3002,1.2144
176,3.1463,0.93069,1.0323,0.003819,0.003819,0.003819,0.82406,0.5814,0.67214,0.20876,7.1529,1.5761,1.3019
177,3.1263,0.946,1.0324,0.0037688,0.0037688,0.0037688,0.96371,0.61781,0.74609,0.24913,6.6368,1.3619,1.2747
178,3.1047,0.91066,1.0382,0.0037188,0.0037188,0.0037188,0.8179,0.7907,0.79962,0.29932,5.8117,1.1381,1.1873
179,3.2129,0.90202,1.0053,0.003669,0.003669,0.003669,0.84508,0.76125,0.76499,0.27304,6.2053,1.2329,1.2458
180,3.1601,0.91716,1.0338,0.0036193,0.0036193,0.0036193,0.80084,0.65466,0.68251,0.21948,6.9427,1.4739,1.3161
181,3.2042,0.86512,1.0347,0.0035697,0.0035697,0.0035697,0.79663,0.5814,0.63814,0.20072,7.0218,1.6243,1.334
182,3.2762,0.8666,1.0242,0.0035204,0.0035204,0.0035204,0.87795,0.74419,0.77929,0.24705,6.563,1.2868,1.3083
183,3.0623,0.95533,1.0395,0.0034712,0.0034712,0.0034712,0.88465,0.7136,0.79943,0.2662,6.0697,1.2762,1.2313
184,3.1318,0.84939,1.0534,0.0034221,0.0034221,0.0034221,0.85584,0.69049,0.70894,0.26341,5.992,1.3364,1.2373
185,3.0729,0.9065,1.0362,0.0033732,0.0033732,0.0033732,0.90743,0.72093,0.78965,0.25428,6.2781,1.2959,1.2867
186,3.2558,0.87887,1.0432,0.0033246,0.0033246,0.0033246,0.89784,0.74419,0.76723,0.24592,6.1939,1.3048,1.2757
187,3.1127,0.81259,0.98863,0.0032761,0.0032761,0.0032761,0.90647,0.76744,0.83926,0.31169,5.6848,1.2651,1.2073
188,2.9775,0.96279,1.0345,0.0032278,0.0032278,0.0032278,0.97114,0.81395,0.85947,0.27864,6.1152,1.2503,1.2611
189,2.9833,0.83644,1.0246,0.0031797,0.0031797,0.0031797,0.95133,0.76744,0.86215,0.29046,6.0763,1.3989,1.236
190,2.7874,0.79139,0.97956,0.0031318,0.0031318,0.0031318,0.81014,0.74419,0.78714,0.26406,5.9954,1.3159,1.2338
191,2.9368,0.82193,1.0204,0.0030841,0.0030841,0.0030841,0.81506,0.7907,0.82153,0.27273,6.1737,1.2886,1.2494
192,2.9251,0.89824,1.0195,0.0030367,0.0030367,0.0030367,0.89075,0.75857,0.82589,0.27066,6.0937,1.2009,1.245
193,2.8633,0.83922,1.0047,0.0029894,0.0029894,0.0029894,0.84149,0.74082,0.75399,0.27302,6.2277,1.1512,1.2984
194,2.7785,0.82108,0.97364,0.0029424,0.0029424,0.0029424,0.86076,0.76744,0.78582,0.29931,6.1208,1.0779,1.2552
195,2.981,0.82402,0.99344,0.0028956,0.0028956,0.0028956,0.88925,0.7907,0.79548,0.32576,5.739,1.0826,1.1775
